Link,EN_title,PENGLISH_title,PERSIAN_title,Content_1,Content_2,Score,Year,Genre,Time
https://www.imvbox.com/watch-persian-movie-iranian-movies/local-anaesthetic-bi-hessie-mozeie,Local Anaesthetic,Bi Hessie Mozeie,بی‌حسی موضعی,"جلال‌، دانشجوی سابق رشته فلسفه، متوجه می‌شود خواهرش که به اختلال روانی دوقطبی مبتلاست، با مردی ثروتمند به نام شاهرخ ازدواج کرده که به شرط‌‌بندی بازی فوتبال اعتیاد دارد. جلال با عصبانیت از خانه بیرون می‌زند تا به خانه دوستش، بهمن، برود که یک آهنگ‌ساز زیرزمینی است. در مسیر جلال با یک راننده تاکسی به نام ناصر آشنا می‌شود و این دو شب عجیبی را در کنار هم سپری می‌کنند.","Jalal, a dropouts philosophy student, realizes that her sister Mary, who has a Bipolar disease, is married to a bourgeois man named Shahrokh who is addicted to football betting. He left the house angrily, and goes to his friend's house, Bahman, who is an underground composer. He meets a strange taxi driver named Nasser on his way. They spent a strange night together.",4.8,2018,Drama,73
https://www.imvbox.com/watch-persian-movie-iranian-movies/disturbance-ashoftegi,Disturbance,Ashoftegi,آشفته گی,«آشفته‌گی» رئالیستی و اجتماعی نیست. یک فیلم است درباره عشق و جنایت....,"After the murder of his rich twin brother, Barbod assumes his identity and deals with the problems that come with it.“Chaos” is not a realist or social movie. It is a film about love and crime.",3.8,2018,Crime,78
https://www.imvbox.com/watch-persian-movie-iranian-movies/highlight-haylayt,Highlight,Haylayt,هایلایت,یک تصادف اتومبیل آدم‌هایی را در تقابل با هم قرار می‌دهد. مراقبت از مصدومین و انتظار برای به هوش آمدن آنها انتظاری طولانی و جانکاه است.,"A man and a woman are have a car accident and go into a coma, but their spouses don't know why these two were together in the first place.A car accident causes many people to face each other. Nursing the injured and waiting for their recovery is a long and wearisome wait.",4.4,2017,Drama,77
https://www.imvbox.com/watch-persian-movie-iranian-movies/gilda-gilda,Gilda,Geelda,گیلدا,گیلدا ماجرای زنی به نام «گیلدا» را روایت می کند که صاحب رستوانیست. شبی اتفاقی برایش می افتد که سیاه ترین شب زندگی اش می شود و برای نجات زندگی اش تا صبح فرصت دارد.,Gilda who owns a restaurant has a terrible night. She has only till morning to save her life from death.Gilda is the owner of Sepid restaurant; she has overcome the darkest night of her life. The next morning is the latest opportunity to save her life.,3.8,2018,Drama,79
https://www.imvbox.com/watch-persian-movie-iranian-movies/atmosphere-station-istgha-e-atmosfer,Atmosphere Station,Istgahe Atmosfer,ایستگاه اتمسفر,"این فیلم روایت گر داستان زندگی زوج جوانی به اسم «مرجان» و «وحید» است که هشت ماهی می‌شود طلاق گرفته‌اند اما به دلایل خاصی مجبورند به زندگی در کنار هم ادامه دهند. در این میان مرجان که تصمیم به مهاجرت دارد، تمام تلاشش را برای گرفتن اقامت دائم کانادا می‌کند اما …","Vahid and Marjan are a young couple who have gotten divorced a few months ago without telling anybody. Marjan dies in an accident and Vahid is blamed for it. Later, it is revealed that Marjan has borrowed a lot of money from the neighbors. Vahid says he knows nothing about it, but …Atmosphere watches over earth and we watch over each other…",5.6,2017,Drama,85
https://www.imvbox.com/watch-persian-movie-iranian-movies/gold-carrier-hammal-tala,Gold Carrier,Hammale Tala,حمال طلا,رضا حمال طلاست و شغلش رساندن طلا و جواهرات از کارگاه به مغازه است. یک روز از او دزدی می‌شود ورضا حمال طلا است. شغلش رساندن طلا و جواهرات از کارگاه به مغازه است. یک روز از او دزدی می‌شود و ....,"A gold carrier gets robbed on his way to work and asks his friend to help him out but the shifting market prices don't help his situation.Reza is a gold runner who delivers gold pieces after work to retailers. Delivering the gold as usual one day, a group of gangs hit him and steal the gold pieces.",5.2,2018,Human Interest & Society,84
https://www.imvbox.com/watch-persian-movie-iranian-movies/women-are-angels2-zanha-fereshte-and2,Women Are Angels 2,Zanha Fereshte And 2,زن ها فرشته اند 2,چند زوج در رده‌های سنی مختلف در سال ۲۰۲۰ به‌دنبال آن هستند که تعریفی بیست از زندگی خود ارائه دهند غافل از آن که بدجوری از تعارضات ذهنی رنج می‌برند.,Several couples in different age groups in 2020 are looking to define twenty of their lives unaware that they are suffering severely from mental conflicts.,3.1,2020,Comedy,80
https://www.imvbox.com/watch-persian-movie-iranian-movies/filicide,Filicide,Pesarkoshi,پسرکشی,"داستان این فیلم در ۲ دهه ۴۰ و ۷۰ می گذرد و داستانی ‌معمایی از پیچیدگی‌های روابط خانواده ای است که به خاطر یک باور غلط، دهه ها دچار بحران هستند",It tells the story of a social and enigmatic story chronicles the hardships of the 1960s and 1990s and points to a misconception that has overshadowed family life for decades.,4.8,2020,Drama,88
https://www.imvbox.com/watch-persian-movie-iranian-movies/in-silence-dar-sokout,In silence,Dar Sokout,در سکوت,"سودابه پس از سالها به ایران بازمی‌گردد تا از عذاب وجدان رهایی یابد، اما باید رازی را بازگو کند که گفتن راز برایش دشوار است",Sudabeh is a 47 years old woman who specializes in recycling. She returns to Iran after 22 years. Her daughter who is called Setareh and lives with her grandparents is not happy about her return.,5.2,2016,Drama,84
https://www.imvbox.com/watch-persian-movie-iranian-movies/intoxicated-eye-nargese-mast,Intoxicated Eye,Nargese Mast,نرگس مست,"این فیلم داستان یک سازنده قدیمی تار است که در خانه‌اش با گروه جوانی که تمرین موسیقی می‌کنند، مراوده دارد. او در فضای ذهنی خودش استادان موسیقی ایران را گاه به جای آن‌ها تصور می‌کند و ما ترانه‌های ماندگار فارسی را از آن استادان می‌شنویم.",The story is about the life of an old Tar player who practices music with a group of youngsters and has discussions with them. He sometimes imagines them as great musicians of Iran.,5.5,2020,Drama,96
https://www.imvbox.com/watch-persian-movie-iranian-movies/consternation-boht,Consternation,Boht,بهت,"زوجی از قشر متوسط ایران امروز، پس از 20 سال فراق اکنون که همدیگر را یافته اند برای تحکیم این عشق،سرنوشت بچه هایشان را با زوجی از طبقه پایین جامعه گره می زنند، غافل از اینکه این آغازی برای فروپاشی هر دو خانواده است....","A couple of middle-class people, find each other after being apart for 20 years. In order to consolidate their love, they tie the fate of their children to a low-class couple, ignoring the fact that this decision is the beginning of a collapse for both families.After 20 years of separation, a couple have found each other to strengthen their love, they tie the fate of their child to a couple from the lower classes of society, unaware that this is the beginning of the collapse of both families.",4.5,2020,Drama,83
